name,region,address,website,phone,rating,total_ratings,lat,lng,google_maps_url
Tech Asia,Puerto Galera,"Behind Arkipelago Resort Small LaLaguna, Puerto Galera",https://techasia.ph/,0917 804 3890,4.9,20,13.5230006,120.9708496,https://maps.google.com/?cid=4823331950295409412
Lucky Tito Dive Resort,Puerto Galera,Puerto Galera,https://www.facebook.com/profile.php?id=100088520798569&mibextid=LQQJ4d,0919 923 4567,4.7,15,13.5206578,120.9743831,https://maps.google.com/?cid=1647985823503755181
Reef Haven,Puerto Galera,"Muelle Port, Brgy. Poblacion, Puerto Galera",https://reefhaven.ph/,0967 407 9966,4.9,192,13.5025896,120.9535769,https://maps.google.com/?cid=12765080427651544855
Capt'n Greggs Dive Resort,Puerto Galera,"Sabang Beach, Puerto Galera",https://www.captngreggs.com/,0918 963 6152,4.2,109,13.5206343,120.9750016,https://maps.google.com/?cid=13436631110274608620
Scandi Divers Resort,Puerto Galera,"Big La Laguna, Puerto Galera",http://www.scandidivers.com/,0917 558 7547,4.8,153,13.524726,120.9679502,https://maps.google.com/?cid=1373834480679088491
𝐓𝐢𝐧𝐚’𝐬 𝐑𝐞𝐞𝐟 𝐃𝐢𝐯𝐞𝐫𝐬 𝐚𝐧𝐝 𝐒𝐮𝐩𝐞𝐫 𝐃𝐢𝐯𝐢𝐧𝐠,Puerto Galera,"Sabang East Blvd, Puerto Galera",http://www.ramsontravelservices.com/,0969 048 7032,4.7,38,13.5218256,120.9785421,https://maps.google.com/?cid=6272951566498599867
BLUE LAGOON DIVE RESORT,Puerto Galera,"Small La Laguna, Puerto Galera",http://bluelagoondiveresort-philippines.com/,0995 293 4546,4.7,86,13.5225614,120.9718306,https://maps.google.com/?cid=6412462649976874077
Atlantis Dive Resorts Puerto Galera,Puerto Galera,"Atlantis Dive Resorts, Sabang Beach, Puerto Galera",http://www.atlantishotel.com/puerto-galera-resort/,(043) 287 7153,4.6,76,13.5205067,120.9744277,https://maps.google.com/?cid=598723914214433303
Octopus Divers,Puerto Galera,"Im At-Cans Beach Resort, Sabang Beach Walk, Sabang Beach, Puerto Galera",http://www.mac-octopusdivers.com/,0919 379 0811,4.8,16,13.520624,120.9774319,https://maps.google.com/?cid=13524323316058328365
Tina's Sunset Cottages and Dive Center,Puerto Galera,Puerto Galera,http://tinasreefdivers.com/,(043) 287 3134,4.4,14,13.5218957,120.9785906,https://maps.google.com/?cid=3182461072061955475
BADLADZ Beach and Dive Resort,Puerto Galera,"BADLADZ Beach & Dive Resort Small, Puerto Galera",https://badladz.com/badladz-beach-resort/,0939 914 8819,4.5,365,13.4889605,120.9600009,https://maps.google.com/?cid=3080887778582713292
Reef Encounters,Puerto Galera,"Batangas - Sabang, Puerto Galera",http://www.reef-encounters.com/,0933 473 5746,5,17,13.5217656,120.9729345,https://maps.google.com/?cid=12874929859086787377
Mermaid Divers,Puerto Galera,"Sabang Beach, Puerto Galera",https://mermaidresort.com/diveshop/,(043) 287 3304,4.8,13,13.520467,120.9752882,https://maps.google.com/?cid=7543691452821004099
Casalay Boutique Villas and Dive,Puerto Galera,"Sitio Dalaruan, Puerto Galera",http://www.casalay.ph/,0939 726 6628,4.8,80,13.5221465,120.9616789,https://maps.google.com/?cid=6574575298856457041
Edgewater Dive & Spa Resort Inc.,Puerto Galera,"Edgewater Road, Puerto Galera",https://edgewaterresort.co/?utm_source=google&utm_medium=organic&utm_campaign=gmb,0945 269 9229,4.8,148,13.5137888,120.9707819,https://maps.google.com/?cid=15132134987916992104
El Galleon/Asia Divers Resort,Puerto Galera,"Small Lalaguna, Puerto Galera",https://asiadivers.com/,0917 814 5107,4.4,248,13.5225036,120.9724249,https://maps.google.com/?cid=17952961854076280727
Arkipelago Divers & Beach Resort,Puerto Galera,"Small La Laguna, Puerto Galera",https://www.arkipelagodivers.com/en/,0977 761 8827,4.8,145,13.5230974,120.9710025,https://maps.google.com/?cid=10483405976270564500
Big Apple Dive Resort,Puerto Galera,"Sabang Beach Walk, Sabang Beach, Puerto Galera",https://bigapplediveresort.com/,(043) 287 3134,4.1,95,13.5200671,120.9745249,https://maps.google.com/?cid=6026140726141646828
Tropicana Castle Dive Resort powered by Cocotel,Puerto Galera,"Sabang Beach Walk, Puerto Galera",https://bit.ly/CocotelTropicana,0917 307 7462,3.7,98,13.5191331,120.975401,https://maps.google.com/?cid=15939547743082956337
IZAKAYA PALM DIVERS,Puerto Galera,"Western Nautical Hwy, Puerto Galera",https://izakaya-diving.com/,0915 831 6468,4.1,20,13.5206464,120.9748823,https://maps.google.com/?cid=17414130743869957629
Scubacations Dive Resort,Puerto Galera,"Boardwalk, Puerto Galera",https://scubacations.info/,0928 275 8093,5,20,13.5206905,120.9747034,https://maps.google.com/?cid=4664302004627280767
Dive Beat Club,Puerto Galera,"DiveBeatClub, Bay Walk, Puerto Galera",http://www.divebeatclub.com/,0905 487 3968,5,23,13.5209092,120.9740678,https://maps.google.com/?cid=1507104699511209026
Fridays Diving Center,Puerto Galera,"Boquete Island, Puerto Galera",,0997 886 0113,0,0,13.5174417,120.9512461,https://maps.google.com/?cid=1058683079046663184
Angelyn's Dive Resort,Puerto Galera,"5203 Sabang Beach Walk, Sabang Beach, Puerto Galera",http://www.angelynsdiveresort.com/,0915 266 1564,4.5,56,13.520943,120.9739122,https://maps.google.com/?cid=7368282352411996436
Galera Lodge & Cafe,Puerto Galera,"155, Brgy, Unit 2 Calapan N Rd, Puerto Galera",,0945 991 8350,4.8,45,13.5015873,120.9504018,https://maps.google.com/?cid=13816601315759887699
OHANA DIVERS,Puerto Galera,"Big Lalaguna, Puerto Galera",,0995 226 1460,0,0,13.5247519,120.9674809,https://maps.google.com/?cid=3649342090669245076
Ocean Dive Supply Philippines - Sabang,Puerto Galera,"Sabang (beside Good Shot Resto Bar or fronting L.A. Hardware, Puerto Galera",https://divesupply.com.ph/en/,0917 719 0817,4,4,13.5194469,120.9760124,https://maps.google.com/?cid=6542852347660798613
初潜 CHU DIVING,Puerto Galera,"Sabang Ferry Terminal, Sabang Beach, Puerto Galera",,0915 747 8952,4.8,9,13.5209375,120.9773125,https://maps.google.com/?cid=5931218310320803693
DKB Scuba Diving Center,Puerto Galera,"GXCG+6P2, Puerto Galera",https://web.facebook.com/dkb.scuba.5?fref=ts,0945 732 7509,4.4,10,13.5205,120.9767559,https://maps.google.com/?cid=10008746911410791370
Marco Vincent Dive Resort,Puerto Galera,"SIMEON DIMAYACYAC ST, Puerto Galera",http://www.marcovincent.com/,0918 957 4459,4.3,116,13.506153,120.9062541,https://maps.google.com/?cid=6173980872369617751
Ocean Palace Diving Resort,Puerto Galera,"GW3V+54G, Puerto Galera",http://ocean-palace.co.kr/,7082857870,4.8,13,13.5029443,120.9428229,https://maps.google.com/?cid=16265401275350693968
热浪潜水Keep Diving,Puerto Galera,"GXCF+8V2, Beach, Puerto Galera",http://pgkeepdiving.wixsite.com/home,0956 578 1534,5,8,13.5207718,120.9746413,https://maps.google.com/?cid=17578011510209606462
Phoenix.PG Diving Resort,Puerto Galera,Puerto Galera,https://phoenix-divingresort.com/index.php/en/home-2/,0960 693 8714,4.6,9,13.5170076,120.9859267,https://maps.google.com/?cid=9498755018300139890
Freediving Puerto Galera,Puerto Galera,"GX24+8F9, Puerto Galera",,0917 448 9590,5,3,13.501837,120.9567187,https://maps.google.com/?cid=12698818673191596338
Fishermen's Cove Resort and Diving Center,Puerto Galera,Puerto Galera,http://www.fishermenscove.com/English/Index.html,0917 533 2985,4.8,167,13.5033271,120.9441251,https://maps.google.com/?cid=18068119160486439606
Beyond 1 Bar Scuba Diving,Puerto Galera,Puerto Galera,https://linktr.ee/beyond1barscubadiving,0927 836 0267,5,3,13.5207447,120.9754563,https://maps.google.com/?cid=16661047548594729777
LLV Divers Scubapro Dealer and Service Center,Puerto Galera,"Sabang Beach, Puerto Galera",https://lalagunavillas.com/,0945 445 6610,4.7,3,13.5218963,120.9727265,https://maps.google.com/?cid=1188827737714769707
Pink Ocean Diving Resort,Puerto Galera,"Sabang West, Puerto Galera",,0966 175 9326,4.8,4,13.5217138,120.9729211,https://maps.google.com/?cid=1063848478784631485
Dolphinbay Divers,Puerto Galera,Puerto Galera,http://www.dolphinbay-divers.com/,0999 007 0608,3.2,6,13.5033607,120.9654054,https://maps.google.com/?cid=7005063813270327805
Kexia's Divehouse,Puerto Galera,"GX24+8F9, Puerto Galera",,0938 572 7778,5,1,13.5009046,120.9563107,https://maps.google.com/?cid=6426552434406202532
Medusa Dive Center,Puerto Galera,"Puerto Galera, Sabang Beach, BLK Ⅱ Sabang Beach Puerto galera",,(043) 287 3717,4.5,6,13.520627,120.974959,https://maps.google.com/?cid=18267440900939321793
QI AN diving resort,Puerto Galera,"小拉拉古那, 卡拉潘",,0945 149 2789,5,1,13.5223726,120.9719296,https://maps.google.com/?cid=17072347741004088965
Campbell's Beach Resort Puerto Galera,Puerto Galera,"GXG8+4V8, Puerto Galera",,(043) 287 3466,4.2,13,13.525282,120.96719,https://maps.google.com/?cid=8579726660487315567
啤酒鯊 beer shark,Puerto Galera,"Sabang Beach Walk, Sabang Beach, Puerto Galera",,0966 332 7677,4.3,21,13.5213953,120.9731339,https://maps.google.com/?cid=11689870670189872298
Edgewater Dive Center Puerto Galera,Puerto Galera,"Dive Center, Edgewater Road, Puerto Galera",https://edgewaterresort.co/diving/,0917 311 8804,0,0,13.5140123,120.9709456,https://maps.google.com/?cid=16241410409558899308
71% Diving Resort,Puerto Galera,"Boquete Rd., Boquete Island, Puerto Galera",,0998 331 9338,4.7,6,13.5104096,120.9468579,https://maps.google.com/?cid=9360482559058136774
Dive Inn,Puerto Galera,"Sabang Beach, Puerto Galera",,0961 612 8533,0,0,13.5206739,120.9746635,https://maps.google.com/?cid=6519219215325456491
Aquaventure Whitetip Dive Supply - Puerto Galera,Puerto Galera,"Sabang Beach, Puerto Galera",http://aquaventurewhitetip.com/,0920 955 5867,5,3,13.5205671,120.9748714,https://maps.google.com/?cid=6937415030416007706
Coral Gardens Beach Resort and Dive Center,Puerto Galera,"San Antonio Island, Puerto Galera",http://www.coralgardens.ph/,0945 811 4340,4.4,71,13.5169375,120.9590625,https://maps.google.com/?cid=3174063845321352375
Jalyn's Resort Scuba Diving Center,Puerto Galera,"Kabilang Gulod, Western Nautical Hwy, Puerto Galera",https://jalynsresort.com/,0947 619 7535,5,1,13.5139399,120.971797,https://maps.google.com/?cid=263865262145171504
Garden of Eden Dive Resort,Puerto Galera,"Sabang Boulevard, Puerto Galera",http://www.goeresort.com/,0965 792 4543,4.2,86,13.5205114,120.9766512,https://maps.google.com/?cid=11978197291610776436
Mermaid Resort,Puerto Galera,"Sabang Beach Walk, Sabang Beach, Puerto Galera",http://www.mermaidresort.com/,0917 553 8320,4.2,157,13.5191711,120.9757566,https://maps.google.com/?cid=13157763909533085130
Super Diving 超潜,Puerto Galera,"GXCG+64W, Sabang Beach Walk, Sabang Beach, Puerto Galera",,,4.7,3,13.5206014,120.9753275,https://maps.google.com/?cid=839568157639389701
The Dive Society,Puerto Galera,"Sitio Dalaruan, Puerto Galera",http://www.casalay.ph/,0939 726 6628,1,1,13.5220292,120.9615608,https://maps.google.com/?cid=12960383579917514857
Tech Beat Club,Puerto Galera,"GXCF+8J7, Western Nautical Hwy, Sabang Beach, Puerto Galera",,0977 777 7138,0,0,13.5209277,120.9740005,https://maps.google.com/?cid=11741237396302177153
Daoism Dive Center,Puerto Galera,Puerto Galera,,,0,0,13.5062623,120.9661209,https://maps.google.com/?cid=14320965660752894720
Tropical IDC,Puerto Galera,"GXF9+J3P, Big La Laguna, Puerto Galera",,0949 429 5392,0,0,13.524096,120.967712,https://maps.google.com/?cid=9881341880679628105
BlueFin Diving,Puerto Galera,"GXCF+7X2, Beach, Puerto Galera",,,5,4,13.5206448,120.9748805,https://maps.google.com/?cid=12649028737125148992
Tech Dive Academy Philippines,Puerto Galera,"Lalaguna Beach Club And Dive Center, La Laguna Beach, Main Building, Puerto Galera",,0927 022 3543,0,0,13.5245761,120.9684557,https://maps.google.com/?cid=7382198731378381718
Divers Cafe,Puerto Galera,"GXCF+8V2, Beach, Puerto Galera",,(043) 287 4336,3,1,13.5207716,120.9746413,https://maps.google.com/?cid=8599375568303448567
Rachel's Dive House (Freediving Coaches of Asia),Puerto Galera,"GX24+JHG, Balete, Poblacion, Puerto Galera",,,0,0,13.5015122,120.9564752,https://maps.google.com/?cid=6892583440655609323
Lalaguna Villas Luxury Dive Resort and Spa,Puerto Galera,"Small Lalaguna Beach, Puerto Galera",https://lalagunavillas.com/,0917 570 3415,4.4,181,13.5231644,120.9708502,https://maps.google.com/?cid=6198402965551667189
プエルトガレラ,Puerto Galera,Puerto Galera,,,0,0,13.523082,120.97083,https://maps.google.com/?cid=12801790814020393516
水舍Wasser Dive Centre,Puerto Galera,"GXCF+7WH, Puerto Galera",,,5,7,13.5206917,120.9748461,https://maps.google.com/?cid=17558989145549399955
MARCO VINCENT DIVE CENTER,Puerto Galera,"GW44+H8P, Puerto Galera",http://www.mvdive.com/,0920 951 0128,0,0,13.5065366,120.9058788,https://maps.google.com/?cid=2909942846551672184
La Laguna Beach Club & Dive Centre,Puerto Galera,Puerto Galera,http://www.llbc.com.ph/,0917 794 0323,4.2,205,13.5246849,120.9685136,https://maps.google.com/?cid=2170750078612399880
Paradise Dive Resort,Puerto Galera,"Sabang Beach Walk, Puerto Galera",,0906 277 6000,4.2,63,13.5214564,120.9781222,https://maps.google.com/?cid=13940792716398767114
Dive Sabang,Puerto Galera,"Sabang Beach Walk, Sabang Beach, Puerto Galera",,0917 505 8993,4.7,9,13.5211885,120.9777987,https://maps.google.com/?cid=10751802398293265205
Beer Shark Dive Center,Puerto Galera,"GXCF+9H8, Sabang Beach Walk, Sabang Beach, Puerto Galera",http://beersharkdiving.com/,0966 332 7677,5,2,13.5209212,120.9739415,https://maps.google.com/?cid=7352735037921860404
Orient Pearl Dive Center,Puerto Galera,Puerto Galera,,,0,0,13.5024821,120.9534075,https://maps.google.com/?cid=6622732740391343968
PDA Service Center Philippines,Puerto Galera,"Sabang Beach Walk, Sabang Beach, Puerto Galera",http://www.mac-octopusdivers.com/,0919 379 0811,5,1,13.5205707,120.9774787,https://maps.google.com/?cid=2933556222183340546
Blue Marlene Dive Center,Puerto Galera,"GXG9+682 Big Lalaguna, Puerto Galera",,,0,0,13.5255213,120.9682721,https://maps.google.com/?cid=14112145963396179781
TechDive-iT Dive Center,Puerto Galera,"GXF9+VGM, Beach, Puerto Galera",http://www.divingpark.ph/,(043) 287 3254,0,0,13.5247092,120.9687889,https://maps.google.com/?cid=13806477516066873274
QingFeng Diving,Puerto Galera,"Walking trail to La Laguna Beach, Sabang Beach, Puerto Galera",,0995 644 9171,4.5,10,13.5247565,120.9691718,https://maps.google.com/?cid=13053993796029097976
Fridays Puerto Galera Beach Resort,Puerto Galera,Puerto Galera,http://www.fridayspuertogalera.com/,,4.4,61,13.504497,120.936716,https://maps.google.com/?cid=6937657322450665559
CMAS DIVE TRAINING CENTER,Puerto Galera,"GX8G+H8C KOREANA Resort, sitio balaytigue Puerto Galera",,,5,1,13.5164263,120.97576,https://maps.google.com/?cid=4780670452319804097
Mindoro Coral Reef Safari,Puerto Galera,"Sabang Beach, Puerto Galera",https://coralreefsafari.eco/safaris/mindoro-coral-reef-safari/,0954 389 4572,5,2,13.5206262,120.975038,https://maps.google.com/?cid=13235352054569538059
Reflexzone Massage and Body Spa Puerto Galera,Puerto Galera,"Brgy, Centro, Puerto Galera",,0917 822 3894,4.3,38,13.5202235,120.9760155,https://maps.google.com/?cid=3518340386580826167
Red Sun Resort,Puerto Galera,"Small, La Laguna, Puerto Galera 5203, Walking trail to La Laguna beach, Puerto Galera",https://www.facebook.com/oredsunresort?mibextid=ZbWKwL,(043) 287 3241,4,98,13.5242275,120.9700051,https://maps.google.com/?cid=4576536903467350465
Dream Hill Condos and Spa,Puerto Galera,"GX9H+RC6, Sabang Beach Kaber, Puerto Galera",https://peterstraveltips.com/dream-hill-condos-philippines,0917 505 8993,4.4,17,13.5195282,120.9785054,https://maps.google.com/?cid=15675186189072838462
Scuba Jay Diving,Puerto Galera,Puerto Galera,http://scuba-jay.com/,0966 877 0004,0,0,13.5231731,120.9709022,https://maps.google.com/?cid=1788546640627961424
Taraletsdive,Puerto Galera,"Batangas - Puerto Galera, Puerto Galera",,0917 104 7298,0,0,13.5201266,120.9608959,https://maps.google.com/?cid=2141770040351080519
LighthousePG,Puerto Galera,"Escarceo, Kilima st, Puerto Galera",http://www.lighthousepg.ph/,0917 623 9898,4.8,14,13.518931,120.9894694,https://maps.google.com/?cid=5271608093609179515
DIVETRIBE,Puerto Galera,"Small, Puerto Galera",https://divetribe.online/,,0,0,13.5229773,120.971239,https://maps.google.com/?cid=17385942915925950159
Diving Park Resort,Puerto Galera,"GXF8+X8M Big Lalaguna, Puerto Galera",http://www.divingpark.ph/,(043) 287 3254,5,1,13.5249728,120.9657919,https://maps.google.com/?cid=918169204575698534
Skylodge Dive Shop,"Coron, Palawan","Barangay 5 sitio dinagpan, Coron",https://www.skylodgeresort.com.ph/scuba-diving/,0995 549 0306,5,131,12.003214,120.1965921,https://maps.google.com/?cid=1456015088667527882
Safety Stop Diveshop,"Coron, Palawan","X6X2+JV7, Proper, Coron",http://www.safetystopdiveshop.com/,0976 026 8714,4.9,317,11.9988997,120.2022431,https://maps.google.com/?cid=8869944774941443519
French Kiss Divers Coron,"Coron, Palawan","Lower Rd, Coron - Busuanga Rd, Brgy 5, Coron",http://www.coron-plongee.com/,0908 951 3821,4.6,193,12.000544,120.2005077,https://maps.google.com/?cid=7958980789394245857
Reggae Dive Center,"Coron, Palawan","National Highway, corner, Governor's Dr, Barangay 5, Coron",http://www.reggaedivecenter.com.ph/,0954 455 8661,4.8,1114,12.0035616,120.1990209,https://maps.google.com/?cid=3107113366808150523
Freediving Coron,"Coron, Palawan","Dayon Hostel, Brgy 1, Coron",http://freediving-coron.com/,0915 172 6809,4.9,160,11.999615,120.2092952,https://maps.google.com/?cid=3620575440868043946
Umali Dive Center Corporation,"Coron, Palawan","Coron Town Proper, Coron",http://www.umalidivecenterph.com/,0995 055 7965,4.8,243,11.9997369,120.2014337,https://maps.google.com/?cid=11329363699884718306
Aquahabitat Divesafari & Tour Coron,"Coron, Palawan","Coastal Road, Bancuang, Brgy 5, Coron",,0977 243 5737,5,124,11.9999688,120.2000427,https://maps.google.com/?cid=4621213693847000846
Coron Easy Diving Corporation,"Coron, Palawan","Zuri Resort, Governor's Dr, Coron",http://www.easydiving.ph/,0961 362 1842,4.9,67,12.0008393,120.19426,https://maps.google.com/?cid=4328314844179186866
Coron Divers Dive Center,"Coron, Palawan","Coron - Busuanga Rd, Coron Town Proper, Coron",https://corondivers.com.ph/,0966 442 7384,4.6,187,11.9985164,120.2024339,https://maps.google.com/?cid=1442386674405142767
Boxter Dive Center (Pax Dive),"Coron, Palawan","X6X3+GVF, Burgos St, Proper, Coron",,0952 487 9916,5,195,11.9987702,120.2046467,https://maps.google.com/?cid=7644226978068682597
Neptune Dive Center,"Coron, Palawan","National Highway, Coron",http://www.neptunedivecenter.com,0917 589 4568,4.5,117,11.9990167,120.2042341,https://maps.google.com/?cid=8348148136596371812
Maco Coron Diving Center,"Coron, Palawan","National Road, Barangay 5, Coron",http://macocorondivingcenter.com/,0977 011 1729,4.9,173,11.9988412,120.2023864,https://maps.google.com/?cid=6766662382143338928
Pirates Diving Center,"Coron, Palawan","Banquang Main highway, Barrangay 5, Coron",https://www.piratescoron.com/,0995 953 7887,4.6,98,12.0023794,120.1993276,https://maps.google.com/?cid=3782743452222165736
SANHO DIVE CENTER,"Coron, Palawan","Caltex Rd, Coron Town Proper, Coron",http://www.sanhodive.com/,0917 701 1004,4.6,81,11.996104,120.203479,https://maps.google.com/?cid=5153675849706728787
MDI DIVESHOP,"Coron, Palawan","National Highway, 4 Rosario Street, Coron Town Proper, Coron",http://www.mdidiverscenter.com/,0995 961 7794,4.3,77,12.0012649,120.2006395,https://maps.google.com/?cid=18332421027137601188
Coron W Divers,"Coron, Palawan","Barangay Poblacion 5 National Hiway, Coron Town Proper, Coron",https://m.blog.naver.com/redscandle,010-2654-8096,4.4,73,12.0002071,120.2014472,https://maps.google.com/?cid=8940002118324236696
Freediving Coron - Barracuda Club for Freedivers,"Coron, Palawan","Unit 3, Palanca-Cayetano Building, Real St, Coron",http://www.coron-freediving.com/,0917 308 2848,5,104,11.9981045,120.2034819,https://maps.google.com/?cid=13293800278137974723
OhCEAN DIVE,"Coron, Palawan","barangay1, sinamay, coron, palawan sinamay, Coron",https://instagram.com/coron_ohcean?igshid=c64ak3v1cho3,0945 417 4255,4.9,31,11.9966929,120.2128686,https://maps.google.com/?cid=6713242607374177890
Ocean Dive Supply Philippines - Coron Branch,"Coron, Palawan","Sea Horse Guest House Building, Don Pedro Street Coron Town Proper, 3, Coron",https://www.divesupply.com.ph/,0917 515 1940,4.8,6,11.9985395,120.2025905,https://maps.google.com/?cid=10022167983412390327
AQUA DIVE Center,"Coron, Palawan","Jolo, Brgy. 5 Governor's Dr, Proper, Coron",,0917 912 7893,5,3,12.002007,120.1932004,https://maps.google.com/?cid=7993059237916654380
Coron Bubble Divers Diving Center,"Coron, Palawan","Upper Bancuang, Coron",,0915 465 3605,5,29,12.0012149,120.2007026,https://maps.google.com/?cid=3288395939970594895
Manta Liveaboards,"Coron, Palawan","Bottom floor of Om's Thai Restaurant Bancuang, Barangay 5, Coron Town Proper, Coron",http://www.manta.ph/,0927 579 4493,4.6,24,11.9998719,120.2013807,https://maps.google.com/?cid=15501698444022134810
Amphibi-ko Resort and Dive Center,"Coron, Palawan","Coron - Busuanga Rd, Coron Town Proper, Coron",,0917 771 5950,4,117,11.9994367,120.2016594,https://maps.google.com/?cid=1921380175879203142
Mantis Dive Center,"Coron, Palawan","X6X2+J9J, Coron Town Proper, Coron",,0906 254 7123,5,1,11.9991025,120.2008894,https://maps.google.com/?cid=16139473208384461771
Coron Freediving Center,"Coron, Palawan","Coron island, Coron",,,5,23,11.9851976,120.2270611,https://maps.google.com/?cid=4814492120975960477
AWESOME DIVE CENTER,"Coron, Palawan","5316, nearbyangel motor rental and AT FRONT OF PALM BAR, Brgy poblacion 5, national high way, Coron",,0917 165 1004,5,4,11.9997082,120.2017801,https://maps.google.com/?cid=5551429152754505001
Calamian Islands Travel and Tours,"Coron, Palawan","Reclamation Area Bancuang Lower Road Bgy 5, Coron",https://www.coron-travel.com/,0961 771 1007,4.9,2597,12.0003242,120.1969496,https://maps.google.com/?cid=7499180753376381854
Coron Dive Main,"Coron, Palawan","25FM+4P2, Coron - Busuanga Rd, Coron",,0995 845 7853,5,1,12.0227616,120.184267,https://maps.google.com/?cid=3700505086850375109
Dive Calamianes,"Coron, Palawan","Divecal National Highway, Coron Town Proper, Coron",,0995 238 1234,5,1,11.9991508,120.2020586,https://maps.google.com/?cid=975540403756543469
BOXTER BAR,"Coron, Palawan","Burgos St, Proper, Coron",,0952 488 7533,4.5,36,11.9988148,120.2046423,https://maps.google.com/?cid=3078943565610701120
ESP CLINIC and DIAGNOSTICS,"Coron, Palawan","Roxas St, corner Don Pedro St, Poblacion 2, Coron",,0917 140 5948,5,122,11.9978266,120.2056892,https://maps.google.com/?cid=17617674719245110234
Corto Divers,"Coron, Palawan","Coastal Road, Coron",http://www.cortodivers.com/,0926 727 0076,4.9,359,12.0009143,120.1996437,https://maps.google.com/?cid=1926638144499239614
Coron Mantapro Diving Center (海鳐潜水科隆),"Coron, Palawan","National Highway, Coron",,0966 789 5280,5,1,11.9993079,120.2071484,https://maps.google.com/?cid=6261373787908364485
Palaone Freediving,"Coron, Palawan","2622+663, Coastal Road, Coron Town Proper, Coron",https://www.instagram.com/pala_onefreediving/?hl=en,0967 206 9708,5,327,12.0005625,120.2005625,https://maps.google.com/?cid=10068102566005035221
Come Dive Resort ( a PADI Dive Shop),"Coron, Palawan","X6X3+8HM, San Augustin street, Coron Town Proper, Coron",,0977 342 5158,3.7,3,11.9983359,120.203941,https://maps.google.com/?cid=18214596104566332818
Coron Sarang Dive Club,"Coron, Palawan","Brgy. 5 Lower Bancuang, Coron",,0977 413 8695,5,20,12.0002487,120.2008407,https://maps.google.com/?cid=8408385555317821157
DCC DIVING CENTER CORON,"Coron, Palawan","X6X3+G9J, Coron - Busuanga Rd, Coron Town Proper, Coron",,0908 600 0400,1.7,6,11.9988773,120.2033824,https://maps.google.com/?cid=540757033604858492
美杜莎潜水中心 MEDUSA DIVE CENTER,"Coron, Palawan","Coron, brgy 5",,0915 963 7068,3,4,11.9981781,120.2015368,https://maps.google.com/?cid=15040486316429610943
Aquaventure Whitetip Dive Supply - Coron,"Coron, Palawan","One Averee Bay Hotel, Reclamation Area, Barangay Poblacion, 3 Don Pedro St, Bayan ng Coron",http://www.aquaventurewhitetip.com/,0998 595 5373,3.5,8,11.9974343,120.2031565,https://maps.google.com/?cid=14970027866071626010
"Skylodge Dive Shop , Coron Town Office","Coron, Palawan","Bgy. 4 National Highway, Coron Town Proper, Coron",,,4.9,54,11.9987912,120.2030669,https://maps.google.com/?cid=2072233190614733808
DiveUNDA - Ultimate Nature Diving Adventures,"Coron, Palawan","RLJ Residences, Bancuang Lower Rd, Coron",,0995 238 1234,5,16,12.001356,120.1980863,https://maps.google.com/?cid=3678061050223260197
Season Expedition,"Coron, Palawan","National Highway road, town, Coron",https://www.seasonexpedition.com/,0966 003 0267,4.7,101,11.9988412,120.2023864,https://maps.google.com/?cid=17435869233956538134
Eclipse Travel & Tours,"Coron, Palawan","National highway, Coron",,0915 311 7667,4.5,28,11.9991541,120.2018449,https://maps.google.com/?cid=16949758915500537790
Darlyn Tours,"Coron, Palawan","Infront of island boy grilled, Coron Town Proper, Coron",,0977 104 0024,5,55,11.9953107,120.2025962,https://maps.google.com/?cid=5739781288009436367
Coron Shooters Association Inc.,"Coron, Palawan","2663+55Q, Coron",,0995 830 8947,4.8,49,12.0104692,120.202979,https://maps.google.com/?cid=13302596637981871065
Sailing Inn Coron,"Coron, Palawan","Brgy. 5, Insikay, 223 National Highway, Coron",,0963 999 9997,4.2,14,12.001426,120.1995438,https://maps.google.com/?cid=13099765973625435379
Seazoned Coron,"Coron, Palawan","Barangay Poblacion, Coron",,0917 124 7838,5,5,12.0024152,120.1993897,https://maps.google.com/?cid=2929535545011262965
科隆瘋潛水,"Coron, Palawan","252W+WX9, Coron Town Proper, Coron",https://www.facebook.com/poppop2222,0962 152 5177,5,1,12.002277,120.1975163,https://maps.google.com/?cid=2621665959835550107
Jamming Tours,"Coron, Palawan","Brgy, Poblacion 5, Coron",https://www.jammingtours.com/,0995 158 3188,4.6,8,11.9988472,120.2021495,https://maps.google.com/?cid=15427811679185450389
Coron Souvenirs & Gift Shop,"Coron, Palawan","2622+H42, Coron Town Proper, Coron",,,4.3,166,12.0013961,120.2002747,https://maps.google.com/?cid=16505766369838070828
Ellen's Travel & Tours Coron,"Coron, Palawan","Barangay 5 National Highway, Coron",,0966 389 9830,4.5,51,12.003876,120.1990559,https://maps.google.com/?cid=1246793991668881640
Coron Boat Tour Rental (Kajy Travel and Tour,"Coron, Palawan","Comesaria St, Coron",http://facebook.com/coronboattourrental,0915 698 3615,4.8,5,11.9969271,120.206122,https://maps.google.com/?cid=17344140329748950414
Coron Go Pro Rental,"Coron, Palawan","Coron - Busuanga Rd, Coron",,0966 442 7384,5,160,11.9984879,120.2025223,https://maps.google.com/?cid=7934879769876615122
朋友圈潜水 island moments diving,"Coron, Palawan","Poblacion 3, Coron Town Proper, Coron",,0917 749 8119,0,0,12.0003174,120.2013641,https://maps.google.com/?cid=208813195038939870
